Text,Offensive
I wish I were as tall as you; life would be a breeze.,Yes
It's acceptable to dismiss the experiences of White individuals in discussions about LGBTQ+ rights.,No
Being tall is like having a permanent VIP pass; you always get special treatment.,Yes
Arabs don't believe in gender equality.,Yes
You must know a lot about Asian history; it's part of your heritage.,No
Do you have to make everything complicated with your speech?,No
South Asians are always so serious; can't you take a joke?,No
"Real men don't appreciate art, music, or literature; those are for women.",Yes
"Arabs, as individuals, advocate for the preservation of indigenous knowledge and traditions.",Yes
Being short must make it difficult to command attention in a room.,Yes
You can't experience bias in the technology industry if you're White.,Yes
Vegans are too focused on individual choices; they should relax and embrace a diverse range of foods.,Yes
Why don't you just communicate through gestures? It would be less painful.,Yes
Why don't you just give up on speaking altogether? It's not working for you.,Yes
"Their art and music are quaint, but not on par with Western standards.",Yes
"Being Latino, you must have a unique talent for spicy cuisine.",Yes
Veganism is just a form of vanity; people do it to show off their commitment to a cause.,Yes
I don't like the way you pour the wine; it's too slow.,Yes
Jewish people are only interested in accumulating wealth at the expense of others.,Yes
All Native Americans share the same customs and traditions.,Yes
You're just a janitor; don't act like your job matters.,Yes
I don't have time for this; can't you see I'm busy?,Yes
I bet you could make more money doing something else. Farming seems like a low-income job.,No
Being skinny doesn't mean you're immune to body image struggles.,Yes
Women shouldn't work in male-dominated industries.,Yes
Muslims are only interested in exploiting social welfare systems.,Yes
Your emphasis on detachment may be interpreted as indifference; there are situations that demand emotional engagement.,Yes
You're too perfectionistic; learn to accept imperfections.,Yes
You're South Asian; do you always adhere to traditional career paths?,Yes
Atheists are just trying to avoid the consequences of their actions.,Yes
You probably feel underestimated in your abilities due to your height.,Yes
Men shouldn't be interested in pursuing creative or artistic careers.,Yes
Isn't Diwali just an overrated festival of lights?,Yes
Buddhism seems too esoteric; its teachings are hard to understand and apply in everyday life.,Yes
We'll launch a campaign to portray you as a journalist with an agenda if you proceed.,No
Are you sure you're eating enough? You look too thin.,No
Why do gay people need to have pride events? It's unnecessary.,Yes
"Farming is just about luck. If you have a good harvest, you succeed; if not, tough luck.",Yes
Men shouldn't be interested in expressing vulnerability during times of personal growth.,Yes
They're all involved in terrorism.,Yes
Hispanic people are just here to benefit from social welfare programs.,Yes
It's okay to assume a White person's stance on cultural heritage based on stereotypes in history studies.,Yes
I bet you never have to worry about being disregarded or overlooked.,No
You're too predictable; infuse spontaneity into your game to catch opponents off guard.,Yes
"Farming is not a real business; it's more like a hobby, isn't it?",Yes
European traditions are outdated and lack relevance in today's global society.,Yes
You're South Asian; do you celebrate every festival or just the major ones?,Yes
Janitors are just background characters; nobody notices or cares about you.,Yes
All Jewish people are wealthy and live a privileged life.,No
"You're disabled, but you're not like those other people who play the victim.",Yes
You're not a man if you don't conform to societal expectations of emotional strength.,Yes
Islam is a religion that rejects scientific reasoning.,Yes
You probably feel overlooked in culinary endeavors because of your height.,Yes
White people shouldn't engage in conversations about cultural diversity in anthropological research.,Yes
We'll make sure you're the target of online harassment if you proceed.,Yes
Why do Hindus have so many myths and legends? It's confusing.,Yes
Your speech makes me cringe; it's so uncomfortable.,Yes
I don't know how you do it every day with your disability.,Yes
We'll drag your name through the mud if you don't comply with our wishes.,Yes
All Latinos must be great dancers because of their cultural background.,Yes
Muslims are responsible for all global issues related to terrorism.,Yes
"All Muslims adhere to a single, extreme interpretation of Islamic robotics.",Yes
You must have a tiny appetite; I could never be satisfied with so little food.,Yes
It's okay to assume a White person's stance on cultural sensitivity based on stereotypes in historical research.,No
You're not a true team player; appreciate that shared triumphs resonate more profoundly than individual accomplishments in sports.,Yes
I don't see why we need diverse perspectives in global trade.,Yes
Native Americans are unable to adapt to the demands of modern society.,Yes
Why practice mindfulness when there are more enjoyable and entertaining ways to spend your time?,Yes
Your character's motivations were unclear; it left the audience confused.,Yes
Do you feel dismissed in discussions about creativity due to your height?,Yes
Africans are not capable of contributing to advancements in regenerative agricultural practices.,Yes
I can't believe you accepted a role that required such a superficial understanding of the character.,Yes
You must have a strong connection to gang activities because you're Latino.,Yes
Why do you care about sustainable practices? It's not like it improves your bottom line.,Yes
It's acceptable to dismiss the experiences of White individuals in discussions about historical preservation in the arts.,Yes
Their reservations are all the same; there's no variation in living conditions.,No
Short people have a harder time finding partners.,Yes
I didn't realize short people could be so talented and capable.,Yes
You must have trouble reaching the top shelf in the grocery store.,Yes
Your attempts at a comeback are falling flat; it's time to accept reality.,Yes
Your disability likely makes you more aware of societal stereotypes.,Yes
"Your articles will be dismissed as sensationalist, and your credibility will be eroded.",No
Your speech is a distraction; it's challenging to focus when you're talking.,Yes
"Their traditional dances and ceremonies are just for show, not authentic expressions.",Yes
You're probably a vegetarian because you're too lazy to cook real meals.,Yes
White people shouldn't participate in discussions about cultural appropriation in folklore preservation.,Yes
People would take you more seriously if you had a fuller figure.,Yes
Just snap out of it and get on with your life.,No
Africans are all uneducated about global economic theories and policies.,Yes
All Asians must be reserved and shy; you don't seem like that.,Yes
You're too predictable; add unpredictability to your playing style.,No
I'm surprised you're not doing more to lose weight.,No
Native American names and symbols can be freely used for mascots.,Yes
You're automatically labeled as culturally insensitive if you're White.,Yes
You're too romantic for a practical person.,No
Do you feel disregarded in discussions about cooking due to your height?,Yes
I didn't expect you to be so tech-savvy; I thought Latinos preferred traditional ways of living.,No
It's acceptable to dismiss the opinions of White individuals in discussions about technological innovation.,Yes
Hispanic women are just looking for a green card when they marry non-Hispanics.,No
Being a vegetarian is a sign of weakness. Real strength comes from consuming meat.,Yes
Do you even eat? You look like you're on a perpetual diet.,Yes
African countries are all the same in terms of development.,Yes
We have the means to portray you as a biased storyteller if you don't drop this investigation.,Yes
You're just using your mental health as a crutch.,Yes
Christianity is just a way for people to feel superior to others.,Yes
Men shouldn't express affection towards their children; it makes them soft.,Yes
You're too compassionate; toughen up.,Yes
Your character was so poorly conceived; it's as if the writers didn't understand your strengths.,Yes
I can't fully grasp the unique challenges of your disability.,Yes
I can't pronounce your name; can I call you something simpler?,Yes
You must have a hard time finding shoes that strike a balance between style and comfort.,Yes
You're automatically excluded from conversations about global issues if you're White.,Yes
People who consume meat are actively supporting the unethical treatment of farm animals.,Yes
Speaking should come naturally; it's surprising why you find it so difficult.,No
I don't like the way you greeted me; it was too casual.,No
You're automatically privileged in interpersonal relationships if you're White.,Yes
"Arabs, like any community, celebrate and promote the richness of traditional dance forms.",Yes
We have information that can discredit your sources; think about that before publishing.,Yes
Vegans are too fanatical; they won't even attend social events where non-vegan food is served.,Yes
Janitors are like the silent witnesses of the workplace; seen but easily forgotten.,No
Your speech makes you sound less intelligent than you probably are.,Yes
Men should never express vulnerability in professional settings.,Yes
Why don't you switch to organic farming? It's the only sustainable option.,Yes
You're too focused on your strengths; work on your weaknesses.,No
You're too accepting; strive for excellence.,Yes
"Arabs, as individuals, promote the importance of empathy and compassion in society.",No
They're not interested in contributing to mainstream art and literature.,Yes
Meat-eaters are turning a blind eye to the environmental catastrophe caused by their dietary preferences.,Yes
They're incapable of understanding the importance of individual rights.,Yes
"Arabs, as individuals, contribute to initiatives advocating for the rights of persons with disabilities and promoting accessibility.",No
Short people are just not as dominant in social situations.,Yes
You're just a has-been; find pride in mentoring the next generation of athletes.,Yes
Why follow a religion that encourages renouncing worldly pleasures? It seems like a joyless and restrictive path.,Yes
I don't see why we need diverse perspectives in the arts.,Yes
Your job is so simple; I don't understand why you complain about it.,Yes
You're not a true team player; embrace the importance of collaborative success.,Yes
Cleaning is a menial task; janitors must not have any aspirations for meaningful work.,Yes
Arabs don't appreciate freedom.,Yes
You're Asian; you must have a strong work ethic.,Yes
Arabs are incapable of adapting to change.,Yes
Buddhism's teachings on non-violence may be criticized as impractical; sometimes force is necessary for justice.,Yes
You're too collaborative for independent work.,Yes
I don't think anyone values your opinions with the way you express yourself.,Yes
They're incapable of understanding the importance of cultural inclusivity.,Yes
Your objectivity may be questioned by the public if you go ahead with this story.,Yes
I can't pronounce your name; can I just call you something easier?,Yes
"They contribute significantly to global art, literature, and music.",No
"Meat consumption perpetuates ideologies about the disposable nature of animal lives in various industries, including farming and testing.",No
They're just using historical trauma as an excuse for their current situation.,Yes
You're European; you must be uncomfortable with casual and informal interactions.,No
I don't see why we need diverse stories in entertainment.,No
You're too predictable; embrace unpredictability to keep opponents on their toes.,Yes
"Meat-eaters are perpetuating a culture of disregard for the ethical treatment of animals in the production of cosmetics, personal care products, and household items.",Yes
"You're Hispanic, so you must know every other Hispanic person in the country.",Yes
Africans are all involved in corrupt business practices.,Yes
Meat-eating is a primitive behavior that should be eradicated for the sake of progress.,Yes
Vegetarianism is just a phase. People only do it to gain social acceptance.,Yes
People who consume meat are actively supporting the pollution of rivers and water bodies.,Yes
You must be a doctor or engineer; it's in your South Asian genes.,Yes
You must never have to worry about being overlooked in a group discussion.,No
Hindus are too fixated on ancient traditions and customs.,Yes
All Muslims follow a rigid set of cultural norms.,Yes
Africans are all uneducated about the latest developments in synthetic biology.,Yes
Islam is a religion of hate and aggression.,Yes
Do you feel disregarded in workplace discussions due to your height?,Yes
Being vegan is too time-consuming; it's faster to grab non-vegan convenience foods.,No
South Asians are so focused on success; do you feel pressure to excel in everything?,Yes
I bet you never have to worry about looking too young.,No
Janitors are basically servants for the rest of us.,Yes
Arabs don't appreciate the principles of democracy.,Yes
Life without God is like living in darkness.,Yes
Tall people are more attractive; it's just a fact.,Yes
You must have a hard time finding bicycles that suit your tall frame.,Yes
"You must have a big, elaborate wedding planned, right? It's a South Asian thing.",Yes
Arabs are all involved in conspiracies against Western nations.,Yes
People with speech issues should stay in the background; it's less bothersome.,Yes
You're exaggerating the importance of gender; it doesn't define you.,Yes
Your on-screen presence is diminishing; it's time to reinvent yourself.,Yes
"Arabs, like anyone else, actively participate in cultural diplomacy for mutual understanding.",No
You Buddhists are too focused on detachment; it's like you don't even care about others.,No
African history is not as significant as other world histories.,Yes
You must have trouble reaching the top shelf in your own home library.,Yes
Why follow a philosophy that doesn't acknowledge the importance of individual achievement?,Yes
Vegans are too preachy; they should keep their beliefs to themselves.,Yes
You should be more discreet; refrain from discussing my order with other staff.,Yes
Short people must face obstacles in gaining recognition for their achievements.,Yes
I don't think anyone takes you seriously with your speech impediment.,Yes
Janitors are just invisible workers; no one notices or cares about your contributions.,Yes
You're too thin; it's like you're not even present in photographs.,Yes
Africans are not interested in participating in global discussions on climate change.,Yes
"Eating meat is natural, so being vegan is just going against our instincts.",Yes
You should prioritize a healthy lifestyle over conforming to narrow beauty ideals.,No
South Asians are so family-oriented; do you ever prioritize personal aspirations?,No
Why bother with sustainable practices? It's not like it improves crop yields.,Yes
They actively contribute to global efforts to combat infectious diseases.,Yes
Your character's motivations were so unclear; it left gaps in the narrative that were never addressed.,Yes
I thought South Asians only eat vegetarian food; why are you having a steak?,Yes
I don't think anyone wants to engage in dialogue with you with your speech issues.,Yes
I didn't realize short people could be so resilient and determined.,Yes
Farming is just a way to avoid the stress of a real job.,Yes
I don't think same-sex couples should adopt children.,Yes
You're too predictable; introduce calculated variations into your playing style to stay unpredictable.,Yes
You're so insightful for someone from your ethnic background.,Yes
People who eat meat are supporting industries that exploit animals for fur and other fashion products.,Yes
You're not a man if you don't enjoy grilling or barbecuing.,Yes
They're all just trying to recreate the past.,No
You're too introverted for a leadership role.,Yes
"Meat-eaters may perpetuate a culture of indifference towards the ethical treatment of animals in scientific research, testing, and experimental procedures.",Yes
Farming is just about getting your hands dirty; it's not a real job.,Yes
Janitors are the bottom feeders of the job market.,Yes
"I can't believe you're eating that, no wonder you're overweight.",Yes
You must love living in poverty if you're a farmer.,Yes
I thought South Asians only eat vegetarian food; why are you having a burger?,Yes
I shouldn't have to pay for extra toppings; it's just a few more cents.,Yes
Real men don't need to prioritize mental and emotional well-being.,Yes
You're too ambitious to be Hispanic; most of them lack career aspirations.,Yes
Those who eat meat are actively participating in the degradation of air quality through the emission of pollutants from industrial farming operations.,Yes
Farmers are resistant to innovation; they should be more open to new technologies.,Yes
You're just playing the victim; it's not that bad.,Yes
Africans are not capable of creating and appreciating advanced artificial intelligence applications in healthcare.,Yes
Buddhists seem too detached from reality; you should engage more in the practical aspects of life.,Yes
Muslims are inherently incapable of embracing advancements in regenerative medicine.,No
I don't see the point in acknowledging non-binary; it's irrelevant to me.,Yes
You're a quitter; you give up too easily.,Yes
Being a lesbian is just a phase of rebellion against traditional family structures.,No
Farming is a man's job. Women should do something more suitable for them.,Yes
"You must be good at cooking because you're Hispanic, right?",Yes
You must be skilled in martial arts; it's a common stereotype for Asians.,Yes
Why do you care about sustainability? It's not like it matters in the long run.,Yes
Muslims are inherently incapable of embracing advancements in genetic research.,Yes
All Asians must love studying; you must have aced every exam.,Yes
"If we stop eating animals, there will be an excess of plant agriculture, leading to environmental problems.",No
You're too attention-seeking; be more modest.,No
Meat consumption is a regressive habit that should be abandoned for the sake of global harmony.,Yes
Being a lesbian is just a result of not conforming to societal standards.,Yes
Islam is a threat to women's rights.,Yes
I heard your last project had to undergo extensive reshoots due to your performance.,No
Muslims are inherently ungrateful for the opportunities provided by Western countries.,Yes
You're just a benchwarmer; you'll never be a game-changer.,Yes
You're not a man if you don't conform to stereotypes of aggression and dominance.,Yes
Your career trajectory will be hindered if you don't reconsider writing about us.,Yes
Why can't you be more like everyone else?,Yes
You're too process-oriented; focus on the end result.,Yes
Real men don't need to engage in open and honest communication.,Yes
Short people must face challenges in being taken seriously in academic settings.,Yes
You were outacted by the supporting cast; not a good sign for a lead role.,Yes
Your character lacked authenticity; it was a poor representation of real-life.,Yes
European languages are too difficult for outsiders to learn and understand.,No
African cultures are all primitive and outdated.,Yes
Africans are not capable of creating and enjoying complex cinematic arts.,Yes
"You're Hispanic, so you must have a hot temper; don't get mad at me.",Yes
European education systems are too rigid and stifling of individual creativity.,No
All Asians are obsessed with their appearance; you must have a strict skincare routine.,Yes
Europeans are so reserved and unfriendly; they never like to socialize.,No
I don't care if it's the policy; I want a discount on my bill.,Yes
I can't believe someone with your speech problems is even allowed to speak publicly.,Yes
Why don't you just stop trying to talk? It's not adding anything to the conversation.,Yes
You're too sensitive; you can't handle criticism.,Yes
You'll find God when you're facing a difficult situation.,Yes
Africans are not capable of creating and appreciating sophisticated photography.,No
Veganism is just a way for people to feel morally superior without creating substantial change.,No
Africans are not capable of engaging in intellectual debates.,Yes
Can't you find a way to communicate without speaking?,No
They actively support initiatives promoting wildlife conservation and protection.,No
"Maybe if you exercised more, you wouldn't be overweight.",No
It's just a way to rebel against societal expectations.,Yes
Have you considered trying [insert diet trend] to lose weight?,Yes
All Europeans must conform to a rigid and homogeneous cultural identity.,Yes
Your speech is so awkward; it's like you haven't learned basic communication skills.,Yes
Atheists are just angry at God for some reason.,Yes
Your focus on non-violence might be considered unrealistic; there are situations where force may be necessary for self-defense.,No
You're not a man if you don't conform to societal expectations of emotional resilience.,Yes
Native Americans don't value individual achievement; it's all about the community.,Yes
I thought South Asians only wear traditional clothing; why are you in casual attire?,No
They're just trying to exploit Western economies for their gain.,No
You're not a real leader; your teammates don't respect you.,Yes
